,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
25,25,Adrian,Peterson,2012,Minnesota,RB,27.0,Adrian Peterson,34.0,24.923076923076923,216.69230769230768,1.0,73.84615384615384,236.84615384615384,1096.1538461538462,12.0,1.0,6.0,345.4,21.3,28.1,329.7,55.51
26,26,Austin,Ekeler,2021,LA Chargers,RB,26.0,Austin Ekeler,84.11111111111111,70.88888888888889,665.2222222222222,4.666666666666667,84.03333333333333,123.11111111111111,542.0,1.8888888888888888,1.8888888888888888,5.0,344.0,24.0,26.6,382.1,58.65
27,27,Matt,Forte,2014,Chicago,RB,29.0,Matt Forte,83.51063829787235,64.42553191489361,512.936170212766,2.3617021276595747,76.8468085106383,275.9148936170213,1260.8085106382978,7.723404255319149,2.0,7.0,342.6,27.8,29.9,382.3,60.12
28,28,LeVeon,Bell,2017,Pittsburgh,RB,25.0,Le'Veon Bell,80.4,64.8,520.0,1.6,82.3,231.4,1125.6,6.2,3.2,5.0,341.6,24.4,20.6,372.9,58.94
29,29,Dalvin,Cook,2020,Minnesota,RB,25.0,Dalvin Cook,59.05128205128205,49.333333333333336,458.6410256410256,0.5641025641025641,83.39487179487179,217.0,988.3333333333334,9.897435897435898,3.435897435897436,4.0,338.0,24.6,19.4,342.5,51.7
30,30,Matt,Forte,2013,Chicago,RB,28.0,Matt Forte,63.85714285714285,46.285714285714285,382.8571428571428,1.0,72.82857142857144,235.1428571428572,1066.2857142857142,4.428571428571429,2.0,6.0,335.3,23.4,17.3,310.1,52.95
31,31,Derrick,Henry,2020,Tennessee,RB,26.0,Derrick Henry,21.91304347826087,16.956521739130434,168.7826086956522,1.3043478260869563,77.88695652173914,272.39130434782606,1372.695652173913,14.608695652173912,3.608695652173913,5.0,333.0,24.9,20.6,351.2,51.21
32,32,Brian,Westbrook,2006,Philadelphia,RB,27.0,Brian Westbrook,92.83783783783784,65.21621621621621,646.5675675675676,4.702702702702703,70.66756756756756,163.3783783783784,685.5135135135135,3.0,0.3513513513513513,5.0,330.6,19.4,24.3,319.3,64.56
33,33,LeSean,McCoy,2013,Philadelphia,RB,25.0,LeSean McCoy,67.76923076923077,51.69230769230769,350.6923076923077,3.0,76.36923076923075,228.07692307692307,1020.3846153846154,7.769230769230769,2.8461538461538463,5.0,330.6,17.5,27.8,354.1,61.72
34,34,Ezekiel,Elliott,2018,Dallas,RB,23.0,Ezekiel Elliott,38.42857142857143,28.571428571428573,309.2857142857143,1.5714285714285714,74.27142857142857,276.2857142857143,1260.7142857142858,10.428571428571429,2.7142857142857144,3.0,329.1,22.1,20.8,331.9,52.24
35,35,LeSean,McCoy,2011,Philadelphia,RB,23.0,LeSean McCoy,78.47826086956522,64.78260869565217,493.2173913043478,1.3043478260869563,81.17826086956521,188.91304347826087,925.9130434782608,5.956521739130435,2.0,3.0,328.4,26.8,23.4,387.2,59.11
36,36,Josh,Jacobs,2022,Las Vegas,RB,24.0,Josh Jacobs,57.66666666666666,47.0,311.3333333333333,0.0,80.7,235.66666666666663,936.3333333333334,10.0,2.0,4.0,328.3,21.8,25.8,364.9,62.88
37,37,Ray,Rice,2009,Baltimore,RB,22.0,Ray Rice,43.0,33.0,273.0,0.0,76.7,107.0,454.0,0.0,1.0,2.0,326.1,23.1,15.1,309.4,44.44
38,38,Maurice,Drew,2009,Jacksonville,RB,24.0,Maurice Jones-Drew,68.61702127659575,54.97872340425532,514.5744680851063,1.3617021276595744,79.50851063829788,187.4255319148936,806.1276595744681,11.04255319148936,4.723404255319149,4.0,323.5,18.9,22.9,319.1,57.61
39,39,Frank,Gore,2006,San Francisco,RB,23.0,Frank Gore,22.0,15.0,131.0,0.0,68.2,127.0,608.0,3.0,2.0,2.0,323.0,14.9,26.8,224.2,50.52
40,40,Adrian,Peterson,2009,Minnesota,RB,24.0,Adrian Peterson,35.65217391304348,20.39130434782609,168.52173913043478,0.3043478260869565,58.09130434782608,324.95652173913044,1632.4782608695652,10.608695652173912,7.478260869565218,3.0,320.9,23.1,21.1,329.1,48.99
41,41,Devonta,Freeman,2015,Atlanta,RB,23.0,Devonta Freeman,37.0,30.0,225.0,1.0,81.1,65.0,248.0,1.0,1.0,2.0,316.4,23.8,26.1,378.2,64.06
42,42,LeVeon,Bell,2016,Pittsburgh,RB,24.0,Le'Veon Bell,71.14285714285714,57.71428571428572,546.2857142857143,1.7142857142857142,84.7,214.1428571428572,1016.0,5.857142857142857,0.0,4.0,315.4,25.4,19.9,394.0,61.72
