"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"81","Anthony Firkser (NE)","9","13","100","11.1","22","1","0","0","0","0","0","8","19.0","2.4","0.0%"
"82","Giovanni Ricci (CAR)","8","9","100","12.5","32","2","0","0","0","0","0","11","18.0","1.6","0.0%"
"83","Brycen Hopkins (LAR)","7","11","109","15.6","22","2","0","0","0","0","0","7","17.9","2.6","0.1%"
"84","Parker Hesse (ATL)","9","11","89","9.9","22","1","0","0","0","0","0","12","17.9","1.5","0.0%"
"85","Tre' McKitty (LAC)","10","18","72","7.2","12","0","0","0","0","0","0","13","17.2","1.3","0.1%"
"86","Armani Rogers (WAS)","5","6","64","12.8","23","1","0","2","26","0","0","9","14.0","1.6","0.1%"
"87","Grant Calcaterra (PHI)","5","9","81","16.2","40","3","0","0","0","0","0","6","13.1","2.2","0.1%"
"88","Andrew Beck (HOU)","5","11","69","13.8","27","2","0","2","0","0","0","9","11.9","1.3","0.0%"
"89","Kyle Rudolph (FA)","3","5","28","9.3","12","0","1","0","0","0","0","5","11.8","2.4","0.0%"
"90","Nick Vannett (FA)","6","9","55","9.2","15","0","0","0","0","0","0","7","11.5","1.6","0.0%"
"91","Chris Manhertz (DEN)","6","8","42","7.0","21","1","0","0","0","0","0","8","10.2","1.3","0.1%"
"92","Blake Bell (KC)","2","2","20","10.0","17","0","1","0","0","0","0","2","10.0","5.0","0.1%"
"93","Tyler Kroft (MIA)","4","5","57","14.3","28","1","0","0","0","0","0","6","9.7","1.6","0.0%"
"94","Charlie Kolar (BAL)","4","6","49","12.3","15","0","0","0","0","0","0","1","8.9","8.9","0.1%"
"95","Luke Farrell (JAC)","4","4","40","10.0","15","0","0","0","0","0","0","4","8.0","2.0","0.0%"
"96","Tyler Mabry (SEA)","1","1","7","7.0","7","0","1","0","0","0","0","1","7.7","7.7","0.0%"
