,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
999,999,Patrick,Crayton,2006,Dallas,WR,27.0,Patrick Crayton,29.666666666666668,19.33333333333333,293.26666666666665,1.7333333333333334,67.46,0.7333333333333333,0.0,0.0,2.2,3.0,111.6,20.3,19.3,325.1,51.35
1000,1000,Joe,Jurevicius,2006,Cleveland,WR,32.0,Joe Jurevicius,72.80952380952381,48.333333333333336,608.047619047619,8.095238095238095,67.28571428571429,0.0,0.0,0.0,0.7619047619047619,9.0,107.5,14.5,18.8,284.3,58.0
1001,1001,DeAndre,Hopkins,2021,Arizona,WR,29.0,DeAndre Hopkins,156.80851063829786,111.48936170212764,1329.7659574468084,6.319148936170213,71.07021276595745,1.319148936170213,6.425531914893617,0.0,2.042553191489361,9.0,147.0,25.6,22.9,384.6,55.77
1002,1002,Lavelle,Hawkins,2011,Tennessee,WR,25.0,Lavelle Hawkins,9.636363636363637,5.909090909090909,83.27272727272727,0.0,68.16363636363636,0.0,0.0,0.0,0.0,4.0,100.0,22.3,21.2,302.1,55.24
1003,1003,Jabar,Gaffney,2007,New England,WR,27.0,Jabar Gaffney,49.47368421052632,29.526315789473685,289.3684210526316,1.4210526315789471,57.56842105263158,1.6842105263157894,5.473684210526316,0.0,0.0,6.0,110.9,25.3,16.4,335.4,53.85
1004,1004,Domenik,Hixon,2012,NY Giants,WR,28.0,Domenik Hixon,6.0,4.0,50.0,1.0,66.7,0.0,0.0,0.0,0.0,5.0,107.7,25.0,23.1,388.2,60.18
1005,1005,Jerricho,Cotchery,2015,Carolina,WR,33.0,Jerricho Cotchery,77.30434782608695,47.30434782608695,587.6521739130435,4.130434782608695,61.15217391304348,0.3478260869565217,-1.7391304347826086,0.0,0.0,12.0,107.1,21.3,23.4,349.7,54.69
1006,1006,Julio,Jones,2020,Atlanta,WR,31.0,Julio Jones,161.52173913043478,103.8695652173913,1492.4347826086955,6.695652173913044,64.28260869565217,2.0,2.217391304347826,0.0,1.3478260869565215,10.0,146.0,23.8,24.9,379.7,66.97
1007,1007,Christian,Kirk,2020,Arizona,WR,24.0,Christian Kirk,95.36842105263158,60.10526315789474,671.421052631579,3.0,63.06315789473685,7.7894736842105265,74.6842105263158,0.0,0.0,3.0,146.0,22.6,27.6,341.7,60.4
1008,1008,Kevin,Walter,2012,Houston,WR,31.0,Kevin Walter,66.30434782608695,43.17391304347826,525.1304347826087,3.695652173913044,65.3,0.0,0.0,0.0,0.0,10.0,104.8,23.6,17.1,367.2,47.77
