,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
238,Austin,Hooper,2017,ATL,TE,23.0,Austin Hooper,27.0,19.0,271.0,3.0,70.4,0.0,0.0,0.0,0.0,2.0,119.6
239,Jimmy,Graham,2015,SEA,TE,29.0,Jimmy Graham,130.66666666666666,85.33333333333333,997.6666666666666,12.0,65.53333333333333,0.0,0.0,0.0,1.3333333333333333,6.0,120.5
240,Martellus,Bennett,2015,CHI,TE,28.0,Martellus Bennett,116.66666666666669,81.66666666666667,863.6666666666666,5.666666666666667,69.89999999999999,0.0,0.0,0.0,0.3333333333333333,8.0,114.9
241,Julius,Thomas,2015,JAX,TE,27.0,Julius Thomas,71.8,50.7,593.65,12.0,70.38000000000001,0.0,0.0,0.0,0.65,5.0,121.5
242,Vernon,Davis,2012,SFO,TE,28.0,Vernon Davis,94.33333333333331,63.333333333333336,832.6666666666666,6.333333333333333,67.06666666666666,1.3333333333333333,-3.333333333333333,0.0,2.0,7.0,125.8
243,Zach,Miller,2016,CHI,TE,32.0,Zach Miller,46.0,34.0,439.0,5.0,73.9,0.0,0.0,0.0,0.0,5.0,119.6
244,Desmond,Clark,2007,CHI,TE,30.0,Desmond Clark,69.66666666666667,38.0,493.6666666666667,4.666666666666667,53.86666666666667,0.0,0.0,0.0,0.0,9.0,122.5
245,Tyler,Kroft,2017,CIN,TE,25.0,Tyler Kroft,13.090909090909092,10.363636363636363,105.45454545454544,0.3636363636363636,79.66363636363636,0.0,0.0,0.0,0.0,3.0,124.4
246,Ben,Watson,2012,CLE,TE,32.0,Ben Watson,82.19047619047619,48.80952380952381,544.4761904761905,2.380952380952381,58.15714285714286,0.3809523809523809,-0.3809523809523809,0.0,0.0,9.0,117.1
247,Charles,Clay,2017,BUF,TE,28.0,Charles Clay,83.97674418604652,55.18604651162791,544.7441860465116,3.697674418604651,65.71162790697674,0.0,0.0,0.0,0.3023255813953488,7.0,116.8
248,Mike,Gesicki,2021,MIA,TE,26.0,Mike Gesicki,86.3913043478261,52.30434782608695,656.7391304347826,5.652173913043479,60.62608695652175,0.0,0.0,0.0,0.3478260869565217,4.0,165.0
249,Dallas,Goedert,2021,PHI,TE,26.0,Dallas Goedert,73.91891891891892,50.86486486486486,557.6486486486486,3.810810810810811,69.13783783783784,0.0,0.0,0.0,0.8108108108108109,4.0,165.0
250,Vernon,Davis,2017,WAS,TE,33.0,Vernon Davis,58.680851063829785,42.08510638297872,523.0,1.3617021276595744,71.69574468085106,0.0,0.0,0.0,0.0,12.0,121.8
251,Dawson,Knox,2021,BUF,TE,25.0,Dawson Knox,46.30769230769231,25.53846153846154,326.46153846153845,2.6153846153846154,55.07692307692308,0.3846153846153846,3.4615384615384617,0.0,1.2307692307692308,3.0,164.0
252,Hunter,Henry,2021,NWE,TE,27.0,Hunter Henry,87.9,58.5,624.7,4.3,66.87,0.0,0.0,0.0,0.3,6.0,164.0
253,Heath,Miller,2008,PIT,TE,26.0,Heath Miller,59.0,42.66666666666666,508.3333333333333,6.333333333333333,71.93333333333334,0.0,0.0,0.0,0.0,4.0,115.4
254,Jared,Cook,2012,TEN,TE,25.0,Jared Cook,69.0,42.333333333333336,626.3333333333334,2.333333333333333,61.8,0.0,0.0,0.0,1.3333333333333333,4.0,118.3
255,Owen,Daniels,2009,HOU,TE,27.0,Owen Daniels,98.66666666666669,67.66666666666667,830.6666666666666,2.333333333333333,68.53333333333333,0.0,0.0,0.0,2.6666666666666665,4.0,121.9
256,Scott,Chandler,2014,BUF,TE,29.0,Scott Chandler,78.76595744680851,49.80851063829788,628.1914893617021,3.276595744680851,63.07021276595745,0.0,0.0,0.0,1.319148936170213,6.0,114.7
257,Owen,Daniels,2015,DEN,TE,33.0,Owen Daniels,73.57142857142857,44.57142857142857,487.7142857142857,3.857142857142857,60.47142857142857,0.0,0.0,0.0,0.0,10.0,115.7
258,Dallas,Clark,2012,TAM,TE,33.0,Dallas Clark,62.42857142857143,34.642857142857146,350.92857142857144,2.2142857142857144,56.05,0.0,0.0,0.0,0.7857142857142857,10.0,114.5
259,Rob,Gronkowski,2013,NWE,TE,24.0,Rob Gronkowski,97.94736842105264,69.73684210526316,1016.1052631578948,13.526315789473683,70.86315789473683,0.4210526315789473,0.8421052631578947,0.4210526315789473,0.5789473684210527,4.0,122.2
260,Tony,Scheffler,2008,DEN,TE,25.0,Tony Scheffler,56.91111111111111,40.04444444444445,473.02222222222224,4.711111111111111,67.65777777777778,0.2888888888888888,0.8666666666666667,0.0,0.7111111111111111,3.0,120.4
261,Lance,Kendricks,2016,LAR,TE,28.0,Lance Kendricks,36.69565217391305,25.695652173913043,249.8695652173913,3.0434782608695654,69.99130434782609,0.0,0.0,0.0,0.0,6.0,109.9
262,Lance,Kendricks,2012,STL,TE,24.0,Lance Kendricks,58.0,28.0,352.0,0.0,48.3,1.0,-8.0,0.0,1.0,2.0,117.9
263,Marcus,Pollard,2005,DET,TE,33.0,Marcus Pollard,46.6,32.85,390.2,4.95,70.525,0.0,0.0,0.0,0.35,11.0,113.6
264,Brent,Celek,2010,PHI,TE,25.0,Brent Celek,87.33333333333333,59.66666666666666,753.3333333333334,5.666666666666667,68.96666666666667,0.0,0.0,0.0,0.0,4.0,117.1
265,Mike,Gesicki,2020,MIA,TE,25.0,Mike Gesicki,70.0,41.333333333333336,447.3333333333333,3.333333333333333,61.133333333333326,0.0,0.0,0.0,1.0,3.0,159.0
