,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
478,478,Mike,Gesicki,2022,Miami,TE,26.0,Mike Gesicki,103.73469387755102,66.87755102040816,756.4285714285714,3.224489795918368,64.34285714285714,0.0,0.0,0.0,0.0,5.0,98.2,20.1,21.9,307.0,59.71
479,479,Mychal,Rivera,2015,Las Vegas,TE,25.0,Mychal Rivera,86.0,51.333333333333336,491.6666666666667,4.0,60.16666666666666,0.0,0.0,0.0,2.0,3.0,66.0,15.8,28.3,282.2,66.1
480,480,Jermichael,Finley,2013,Green Bay,TE,26.0,Jermichael Finley,88.66666666666667,59.0,700.3333333333334,4.0,66.66666666666667,0.0,0.0,0.0,0.6666666666666666,6.0,73.0,27.1,21.7,357.2,58.8
481,481,Leonard,Pope,2007,Arizona,TE,24.0,Leonard Pope,23.0,16.0,161.0,0.0,69.6,0.0,0.0,0.0,0.0,2.0,74.8,19.6,24.3,312.5,58.06
482,482,Austin,Hooper,2022,Tennessee,TE,27.0,Austin Hooper,63.6,40.31111111111111,371.0,3.2888888888888888,63.28222222222222,0.0,0.0,0.0,0.0,7.0,97.4,24.2,20.7,343.1,51.22
483,483,Dan,Arnold,2020,Arizona,TE,25.0,Dan Arnold,16.5,10.0,138.5,1.5,60.15,0.0,0.0,0.0,0.5,3.0,97.0,22.6,27.6,341.7,60.4
484,484,Will,Dissly,2019,Seattle,TE,23.0,Will Dissly,14.0,8.0,156.0,2.0,57.1,0.0,0.0,0.0,0.0,2.0,73.9,26.5,21.8,350.1,47.56
485,485,Dan,Campbell,2006,Detroit,TE,30.0,Dan Campbell,6.571428571428571,2.914285714285714,23.31428571428572,0.9142857142857144,47.794285714285714,0.0,0.0,0.0,0.0,8.0,75.8,15.9,21.6,269.9,57.64
486,486,Logan,Paulsen,2013,Washington,TE,26.0,Logan Paulsen,31.666666666666668,20.33333333333333,251.3333333333333,0.6666666666666666,63.16666666666666,0.0,0.0,0.0,0.0,4.0,68.7,26.5,24.2,372.6,48.28
487,487,Anthony,Fasano,2014,Kansas City,TE,30.0,Anthony Fasano,49.94117647058823,31.47058823529412,262.11764705882354,3.941176470588236,64.8529411764706,0.0,0.0,0.0,0.0,9.0,71.6,27.9,20.6,347.6,57.31
488,488,Quinn,Sypniewski,2007,Baltimore,TE,25.0,Quinn Sypniewski,2.0,2.0,15.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,62.6,21.1,12.7,312.7,53.56
489,489,Courtney,Anderson,2005,Las Vegas,TE,25.0,Courtney Anderson,21.0,13.0,175.0,1.0,61.900000000000006,0.0,0.0,0.0,0.0,2.0,72.3,20.0,27.6,322.1,65.0
490,490,Scott,Chandler,2015,New England,TE,30.0,Scott Chandler,73.66666666666667,49.0,549.6666666666666,2.6666666666666665,66.53333333333333,0.0,0.0,0.0,0.3333333333333333,7.0,72.9,30.4,19.5,370.4,59.59
491,491,Levine,Toilolo,2014,Atlanta,TE,23.0,Levine Toilolo,15.0,11.0,55.0,2.0,73.3,0.0,0.0,0.0,0.0,2.0,64.8,22.1,27.7,343.1,68.65
492,492,Marcus,Pollard,2007,Seattle,TE,35.0,Marcus Pollard,38.56521739130435,23.82608695652174,244.69565217391303,1.0434782608695652,66.28695652173913,0.0,0.0,0.0,0.3478260869565217,13.0,67.3,21.1,21.6,311.9,53.64
493,493,Dante,Rosario,2009,Carolina,TE,25.0,Dante Rosario,23.0,14.0,175.33333333333334,1.3333333333333333,67.3,0.0,0.0,0.0,0.0,3.0,69.3,25.1,21.3,344.9,47.52
494,494,David,Martin,2005,Green Bay,TE,26.0,David Martin,14.352941176470589,8.764705882352942,83.76470588235294,0.9411764705882352,58.07647058823529,0.0,0.0,0.0,0.0,5.0,67.4,25.9,24.2,391.4,57.96
495,495,Doug,Jolley,2005,NY Jets,TE,26.0,Doug Jolley,49.91489361702128,28.27659574468085,292.8936170212766,1.680851063829787,56.65106382978723,0.0,0.0,0.0,0.0,4.0,65.4,20.6,16.6,339.4,48.13
496,496,Sean,McGrath,2013,Kansas City,TE,26.0,Sean McGrath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.2,13.2,26.6,319.3,50.74
497,497,David,Thomas,2010,New Orleans,TE,27.0,David Thomas,37.66666666666666,26.33333333333333,268.3333333333333,0.6666666666666666,66.23333333333333,0.0,0.0,0.0,0.0,5.0,63.9,32.5,21.1,393.1,55.16
498,498,Gerald,Everett,2020,LA Rams,TE,26.0,Gerald Everett,56.19047619047619,35.476190476190474,374.4761904761905,2.380952380952381,63.33809523809524,1.380952380952381,6.095238095238095,0.0,0.0,4.0,93.0,24.6,22.8,374.9,61.99
499,499,Austin,Hooper,2021,Cleveland,TE,27.0,Austin Hooper,79.0,55.66666666666666,552.3333333333334,4.666666666666667,69.56666666666666,0.0,0.0,0.0,0.0,6.0,93.0,26.3,26.6,367.3,52.22
500,500,Anthony,Fasano,2015,Tennessee,TE,31.0,Anthony Fasano,35.30769230769231,24.53846153846154,220.0,3.769230769230769,69.46923076923078,0.0,0.0,0.0,0.0,10.0,66.9,15.9,27.4,303.7,61.26
501,501,Cameron,Brate,2015,Tampa Bay,TE,24.0,Cameron Brate,1.0,1.0,17.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,69.8,17.3,25.6,292.0,62.22
502,502,Hubert,Walker,2012,San Francisco,TE,28.0,Delanie Walker,38.18181818181818,22.181818181818183,240.3181818181818,2.0454545454545454,57.51363636363637,3.0,9.136363636363637,0.0,0.3181818181818182,7.0,71.4,24.1,15.6,317.2,50.98
503,503,Larry,Donnell,2015,NY Giants,TE,27.0,Larry Donnell,63.333333333333336,43.0,425.6666666666667,4.0,62.333333333333336,0.0,0.0,0.0,2.6666666666666665,3.0,63.3,23.8,25.0,367.2,58.66
504,504,Martellus,Bennett,2010,Dallas,TE,23.0,Martellus Bennett,28.90909090909091,16.818181818181817,204.0909090909091,1.4545454545454546,58.76363636363636,0.0,0.0,0.0,0.0,3.0,59.0,22.1,16.6,392.4,57.17
505,505,Brent,Celek,2008,Philadelphia,TE,23.0,Brent Celek,22.0,16.0,178.0,1.0,72.7,0.0,0.0,0.0,0.0,2.0,64.8,21.0,18.8,358.1,59.79
