,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
317,Melvin,Gordon,2019,LAC,RB,26.0,Melvin Gordon,72.8,53.2,484.4,4.0,73.44,218.6,973.0,9.2,1.0,5.0,180.8
318,Jerome,Harrison,2009,CLE,RB,26.0,Jerome Harrison,14.63157894736842,9.894736842105264,95.57894736842104,0.7894736842105263,73.71052631578948,31.68421052631579,224.10526315789477,0.7894736842105263,0.0,4.0,180.2
319,Mike,Tolbert,2010,SDG,RB,25.0,Mike Tolbert,19.977777777777774,15.844444444444443,185.9333333333333,2.422222222222222,80.01555555555555,21.53333333333333,115.93333333333334,0.7111111111111111,0.7111111111111111,3.0,180.1
320,Jordan,Howard,2018,CHI,RB,24.0,Jordan Howard,37.74468085106383,24.91489361702128,180.2127659574468,0.3191489361702128,67.46382978723405,268.3404255319149,1182.957446808511,8.042553191489361,1.319148936170213,3.0,180.0
321,David,Johnson,2020,HOU,RB,29.0,David Johnson,58.04761904761905,41.333333333333336,398.95238095238096,3.619047619047619,72.48571428571428,156.47619047619048,571.6666666666666,3.9047619047619047,1.761904761904762,6.0,180.0
322,Charles,Sims,2015,TAM,RB,25.0,Charles Sims,27.0,19.0,190.0,0.0,70.4,66.0,185.0,1.0,2.0,2.0,180.0
323,Marion,Barber,2009,DAL,RB,26.0,Marion Barber,58.56521739130435,49.21739130434783,370.0434782608696,2.0,83.91304347826087,226.17391304347825,916.304347826087,8.043478260869565,5.608695652173913,5.0,179.3
324,Marlon,Mack,2019,IND,RB,23.0,Marlon Mack,28.57894736842105,18.473684210526315,147.94736842105263,1.0,64.73684210526316,157.42105263157896,705.3684210526316,6.789473684210527,1.631578947368421,3.0,179.29999999999995
325,Ahmad,Bradshaw,2012,NYG,RB,26.0,Ahmad Bradshaw,49.6,39.2,285.8,1.2,78.78,213.0,889.4,8.6,3.4,6.0,179.0
326,Theo,Riddick,2015,DET,RB,24.0,Theo Riddick,36.0,24.0,219.33333333333331,2.6666666666666665,62.0,16.333333333333332,42.333333333333336,0.3333333333333333,0.0,3.0,179.0
