,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
1413,Jarett,Dillard,2011,JAX,WR,26.0,Jarett Dillard,8.0,6.0,106.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,62.2
1414,John,Brown,2017,ARI,WR,27.0,John Brown,82.33333333333333,47.66666666666666,679.0,3.6666666666666665,57.06666666666667,1.6666666666666667,14.0,0.0,1.0,4.0,69.9
1415,Mack,Strong,2006,SEA,WR,35.0,Mack Strong,28.33333333333333,21.666666666666668,143.66666666666666,0.0,76.89999999999999,23.33333333333333,95.66666666666669,0.0,0.6666666666666666,13.0,61.8
1416,Maurice,Stovall,2009,TAM,WR,24.0,Maurice Stovall,10.6,7.2,61.6,0.6,63.3,0.0,0.0,0.0,0.4,4.0,66.6
1417,Dontrelle,Inman,2017,CHI,WR,28.0,Dontrelle Inman,86.65217391304348,51.0,711.3913043478261,3.695652173913044,58.52173913043478,0.0,0.0,0.0,0.6086956521739131,4.0,90.3
1418,Tim,Dwight,2005,NWE,WR,30.0,Tim Dwight,12.090909090909092,5.2727272727272725,75.18181818181819,0.7272727272727273,41.41818181818181,5.363636363636363,63.27272727272727,0.0,0.2727272727272727,8.0,71.3
1419,Isaiah,McKenzie,2019,BUF,WR,24.0,Isaiah McKenzie,23.074074074074076,12.296296296296296,117.88888888888889,0.0,48.1037037037037,6.333333333333333,40.74074074074074,1.1851851851851851,3.6296296296296298,3.0,63.3
1420,Marquise,Goodwin,2022,SEA,WR,31.0,Marquise Goodwin,40.0,20.0,313.0,1.0,50.0,2.0,-1.0,0.0,1.0,9.0,90.2
1421,Earl,Bennett,2011,CHI,WR,24.0,Earl Bennett,77.18181818181819,48.90909090909091,617.7272727272727,2.636363636363636,63.56363636363636,1.2727272727272727,5.727272727272728,0.0,1.3636363636363635,4.0,66.1
1422,Olamide,Zaccheaus,2021,ATL,WR,24.0,Olamide Zaccheaus,23.5625,14.6875,224.3125,1.0,61.71875,0.6875,0.0,0.0,0.0,3.0,90.0
1423,Cody,Latimer,2019,NYG,WR,27.0,Cody Latimer,23.17391304347826,14.826086956521738,236.3913043478261,1.4782608695652173,65.21304347826086,0.0,0.0,0.0,0.4782608695652174,6.0,66.0
1424,Samie,Parker,2007,KAN,WR,26.0,Samie Parker,65.27272727272727,39.63636363636363,553.3636363636364,1.5454545454545454,60.790909090909096,2.1818181818181817,5.090909090909091,0.0,0.5454545454545454,4.0,66.0
1425,Louis,Murphy,2012,CAR,WR,25.0,Louis Murphy,50.5,25.11111111111111,384.1111111111111,0.7777777777777778,48.26111111111111,4.055555555555555,58.888888888888886,0.6111111111111112,0.7777777777777778,4.0,64.89999999999999
1426,Roscoe,Parrish,2006,BUF,WR,24.0,Roscoe Parrish,25.0,15.0,148.0,1.0,60.0,2.0,-2.0,0.0,2.0,2.0,66.8
1427,Ricardo,Louis,2017,CLE,WR,23.0,Ricardo Louis,35.0,18.0,205.0,0.0,51.4,0.0,0.0,0.0,1.0,2.0,62.7
1428,Tre'Quan,Smith,2019,NOR,WR,23.0,Tre'Quan Smith,44.0,28.0,427.0,5.0,63.6,0.0,0.0,0.0,0.0,2.0,71.4
1429,Mark,Clayton,2010,STL,WR,28.0,Mark Clayton,76.9090909090909,36.54545454545455,558.1818181818181,2.363636363636364,47.39090909090908,4.727272727272728,47.27272727272727,0.3636363636363636,0.6363636363636364,6.0,66.19999999999999
1430,Denard,Robinson,2015,JAX,WR,25.0,Denard Robinson,19.571428571428573,14.238095238095235,76.76190476190476,0.0,45.93333333333334,91.1904761904762,385.4285714285714,2.4761904761904763,2.380952380952381,3.0,68.0
1431,Kenny,Golladay,2021,NYG,WR,28.0,Kenny Golladay,83.6923076923077,47.69230769230769,862.3076923076923,7.538461538461538,58.5,0.0,0.0,0.0,0.6153846153846154,5.0,89.0
1432,Jerheme,Urban,2007,ARI,WR,27.0,Jerheme Urban,10.0,7.0,151.0,0.0,70.0,0.0,0.0,0.0,0.0,3.0,66.9
1433,Riley,Cooper,2012,PHI,WR,25.0,Riley Cooper,30.08888888888889,13.4,257.5111111111111,1.0,43.73555555555556,0.0,0.0,0.0,0.0,3.0,65.8
1434,Keary,Colbert,2005,CAR,WR,23.0,Keary Colbert,92.0,47.0,754.0,5.0,51.1,0.0,0.0,0.0,1.0,2.0,63.8
1435,Billy,McMullen,2006,MIN,WR,26.0,Billy McMullen,33.8,15.0,219.2,0.8,41.44,0.0,0.0,0.0,0.8,4.0,65.7
1436,Brad,Smith,2011,BUF,WR,28.0,Brad Smith,8.444444444444445,4.866666666666666,49.48888888888889,0.0,57.446666666666665,32.22222222222222,272.4222222222222,1.0,0.7111111111111111,6.0,65.7
1437,Corey,Coleman,2017,CLE,WR,23.0,Corey Coleman,73.0,33.0,413.0,3.0,45.2,2.0,10.0,0.0,0.0,2.0,65.5
1438,Chris,Henry,2007,CIN,WR,24.0,Chris Henry,66.25,34.25,540.95,7.95,52.9,0.0,0.0,0.0,0.7,3.0,67.3
1439,Kendrick,Bourne,2022,NWE,WR,27.0,Kendrick Bourne,71.22448979591837,53.16326530612245,759.2857142857143,4.081632653061225,74.80408163265305,8.326530612244898,86.73469387755102,0.0,0.6938775510204082,6.0,88.3
1440,Patrick,Crayton,2005,DAL,WR,26.0,Patrick Crayton,15.0,12.0,162.0,1.0,80.0,0.0,0.0,0.0,0.0,2.0,66.1
1441,Elijah,Moore,2022,NYJ,WR,22.0,Elijah Moore,77.0,43.0,538.0,5.0,55.8,5.0,54.0,1.0,0.0,2.0,88.1
1442,Jordy,Nelson,2009,GNB,WR,24.0,Jordy Nelson,54.0,33.0,366.0,2.0,61.1,0.0,0.0,0.0,0.0,2.0,66.0
1443,Tre'Quan,Smith,2021,NOR,WR,25.0,Tre'Quan Smith,42.94871794871795,29.487179487179485,387.6410256410256,4.282051282051282,69.12820512820512,0.717948717948718,2.1538461538461537,0.0,0.717948717948718,4.0,88.0
1444,Rondale,Moore,2022,ARI,WR,22.0,Rondale Moore,64.0,54.0,435.0,1.0,84.4,18.0,76.0,0.0,3.0,2.0,87.9
1445,Early,Doucet,2010,ARI,WR,25.0,Early Doucet,22.04,16.16,179.28,0.72,74.04799999999999,0.0,0.0,0.0,0.0,3.0,61.6
1446,Josh,Reed,2009,BUF,WR,29.0,Josh Reed,82.92682926829268,54.170731707317074,590.0487804878048,0.6341463414634146,65.60975609756098,1.4634146341463414,3.658536585365854,0.0,0.0,8.0,60.1
1447,Marquez,Valdes-Scantling,2021,GNB,WR,27.0,Marquez Valdes-Scantling,60.66666666666666,30.666666666666668,610.6666666666666,4.666666666666667,50.4,3.333333333333333,11.666666666666666,0.0,0.6666666666666666,4.0,87.0
1448,Allen,Robinson,2021,CHI,WR,28.0,Allen Robinson,152.0,100.66666666666669,1215.6666666666667,6.333333333333333,66.2,1.0,0.0,0.0,0.0,8.0,87.0
1449,Odell,Beckham,2020,CLE,WR,28.0,Odell Beckham Jr.,130.54545454545453,74.81818181818181,1039.6363636363635,4.545454545454546,57.37272727272728,3.5454545454545454,12.454545454545457,0.0,1.2727272727272727,7.0,87.0
1450,Freddie,Swain,2021,SEA,WR,23.0,Freddie Swain,21.0,13.0,159.0,2.0,61.9,0.0,0.0,0.0,0.0,2.0,87.0
1451,Jakeem,Grant,2020,MIA,WR,28.0,Jakeem Grant,33.333333333333336,19.666666666666668,198.66666666666663,0.6666666666666666,59.0,3.0,5.0,0.6666666666666666,1.3333333333333333,5.0,87.0
1452,Golden,Tate,2020,NYG,WR,32.0,Golden Tate,96.35135135135135,59.13513513513514,724.2432432432432,5.1891891891891895,60.802702702702696,2.216216216216216,23.2972972972973,0.0,1.8108108108108107,11.0,87.0
1453,Sammy,Watkins,2020,KAN,WR,27.0,Sammy Watkins,80.78947368421052,48.8421052631579,632.4736842105264,3.0,61.721052631578935,2.789473684210526,22.526315789473685,0.0,1.736842105263158,7.0,87.0
1454,DeAndre,Carter,2021,WAS,WR,28.0,DeAndre Carter,6.571428571428571,4.809523809523809,66.66666666666667,0.0,60.89523809523809,0.0,0.0,0.0,2.0,4.0,87.0
