"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"76","Corey Davis (NYJ)","32","64","536","16.8","66","13","2","0","0","0","0","13","97.6","7.5","2.5%"
"77","Nico Collins (HOU)","37","66","481","13.0","58","11","2","0","0","0","0","10","97.1","9.7","47.9%"
"78","Mecole Hardman Jr. (NYJ)","25","34","297","11.9","36","8","4","4","31","2","0","8","93.8","11.7","8.4%"
"79","Marquise Goodwin (CLE)","27","42","387","14.3","38","10","4","2","5","0","0","13","90.2","6.9","0.6%"
"80","Kendrick Bourne (NE)","35","48","434","12.4","41","9","1","6","39","0","0","16","88.3","5.5","0.8%"
"81","Elijah Moore (CLE)","37","65","446","12.1","42","10","1","5","5","0","0","16","88.1","5.5","42.5%"
"82","Treylon Burks (TEN)","33","54","444","13.5","51","17","1","4","47","0","0","11","88.1","8.0","86.4%"
"83","Rondale Moore (ARI)","41","56","414","10.1","38","8","1","6","-5","0","0","8","87.9","11.0","50.2%"
"84","Allen Robinson II (PIT)","33","52","339","10.3","29","3","3","0","0","0","0","10","84.9","8.5","5.2%"
"85","Quez Watkins (PHI)","33","51","354","10.7","53","12","3","3","1","0","1","17","84.5","5.0","0.8%"
"86","Ben Skowronek (LAR)","39","61","376","9.6","32","7","0","1","17","1","0","14","84.3","6.0","0.7%"
"87","Trent Sherfield (BUF)","30","51","417","13.9","75","9","2","0","0","0","0","16","83.7","5.2","0.7%"
"88","Terrace Marshall Jr. (CAR)","28","47","490","17.5","43","17","1","0","0","0","0","13","83.0","6.4","2.6%"
"89","Nick Westbrook-Ikhine (TEN)","25","50","397","15.9","63","11","3","0","0","0","0","16","82.7","5.2","0.8%"
"90","Jauan Jennings (SF)","35","56","416","11.9","44","6","1","0","0","0","0","16","82.6","5.2","0.8%"
"91","Randall Cobb (NYJ)","34","50","417","12.3","40","10","1","0","0","0","0","13","81.7","6.3","0.7%"
"92","Hunter Renfrow (LV)","36","50","330","9.2","27","3","2","0","0","0","1","10","79.0","7.9","11.6%"
"93","Van Jefferson (LAR)","24","44","369","15.4","39","9","3","0","0","0","0","10","78.9","7.9","5.6%"
"94","Nelson Agholor (BAL)","31","53","362","11.7","44","9","2","0","0","0","2","15","75.2","5.0","0.7%"
"95","Laviska Shenault Jr. (CAR)","27","32","272","10.1","67","8","1","9","65","1","0","13","72.7","5.6","0.8%"
"96","Jamal Agnew (JAC)","23","30","187","8.1","24","1","3","12","86","0","0","15","72.3","4.8","0.7%"
"97","Julio Jones (FA)","24","43","299","12.5","48","6","2","5","45","0","0","10","70.4","7.0","7.2%"
"98","Tyquan Thornton (NE)","22","45","247","11.2","29","4","2","3","16","1","0","12","66.3","5.5","18.2%"
"99","Dante Pettis (CHI)","19","41","245","12.9","51","7","3","2","37","0","0","17","65.2","3.8","0.1%"
"100","Equanimeous St. Brown (CHI)","21","38","323","15.4","56","9","1","6","54","0","0","16","64.7","4.0","0.2%"
"101","Trenton Irwin (CIN)","15","23","231","15.4","45","6","4","1","11","0","0","9","63.2","7.0","0.2%"
"102","Tutu Atwell (LAR)","18","35","298","16.6","62","12","1","9","34","1","0","12","63.2","5.3","0.7%"
"103","A.J. Green (FA)","24","47","236","9.8","77","4","2","0","0","0","0","13","61.6","4.7","0.6%"
"104","Shi Smith (CAR)","22","41","296","13.5","38","8","2","0","0","0","1","17","61.6","3.6","0.1%"
"105","Jarvis Landry (FA)","25","39","272","10.9","40","5","1","0","0","0","0","9","60.2","6.7","7.2%"
"106","Justin Watson (KC)","15","34","315","21.0","67","12","2","0","0","0","0","17","58.5","3.4","0.2%"
"107","Ray-Ray McCloud III (SF)","14","25","243","17.4","42","8","1","4","78","1","0","17","58.1","3.4","0.6%"
"108","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","57.7","3.4","0.8%"
"109","Kadarius Toney (KC)","16","20","171","10.7","38","5","2","7","82","1","1","9","57.3","6.4","85.5%"
"110","Kendall Hinton (DEN)","24","33","311","13.0","35","8","0","2","13","0","0","11","56.4","5.1","0.1%"
"111","Rashod Bateman (BAL)","15","28","285","19.0","75","12","2","0","0","0","1","6","53.5","8.9","43.6%"
"112","Tre'Quan Smith (NO)","19","27","278","14.6","48","6","1","0","0","0","0","10","52.8","5.3","0.6%"
"113","Chosen Anderson (MIA)","20","44","282","14.1","75","7","1","0","0","0","1","12","52.2","4.4","0.7%"
"114","Damiere Byrd (CAR)","13","23","268","20.6","75","8","2","0","0","0","0","12","51.8","4.3","0.0%"
"115","Phillip Dorsett II (LV)","20","40","257","12.9","34","6","1","0","0","0","0","15","51.7","3.4","0.1%"
"116","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","51.6","8.6","8.6%"
"117","Michael Thomas (NO)","16","22","171","10.7","21","2","3","0","0","0","0","3","51.1","17.0","85.7%"
"118","Brandon Powell (MIN)","24","32","156","6.5","16","0","0","17","80","0","0","17","47.6","2.8","0.1%"
"119","Sammy Watkins (FA)","16","27","325","20.3","55","15","0","0","0","0","1","9","46.5","5.2","1.6%"
"120","David Bell (CLE)","24","35","214","8.9","20","1","0","0","0","0","0","15","45.4","3.0","0.7%"
"121","Skyy Moore (KC)","22","33","250","11.4","30","3","0","3","24","0","3","16","43.4","2.7","55.3%"
"122","Ashton Dulin (IND)","15","22","207","13.8","39","3","1","2","8","0","0","10","42.5","4.3","0.1%"
"123","Scott Miller (ATL)","23","40","185","8.0","23","2","0","1","8","0","0","12","42.3","3.5","0.1%"
"124","KhaDarel Hodge (ATL)","13","20","202","15.5","39","3","1","0","0","0","0","13","41.2","3.2","0.1%"
"125","Amari Rodgers (HOU)","16","25","204","12.8","37","4","1","2","7","0","2","15","39.1","2.6","0.1%"
"126","Marquez Callaway (DEN)","16","32","158","9.9","33","3","1","0","0","0","0","10","37.8","3.8","0.1%"
"127","Zach Pascal (ARI)","15","19","150","10.0","34","3","1","1","0","0","0","15","36.0","2.4","0.1%"
"128","Byron Pringle (FA)","10","16","135","13.5","35","4","2","0","0","0","0","10","35.5","3.6","0.0%"
"129","Sterling Shepard (NYG)","13","24","154","11.8","65","4","1","0","0","0","0","3","34.4","11.5","1.1%"
"130","Khalil Shakir (BUF)","10","20","161","16.1","31","5","1","0","0","0","0","10","34.1","3.4","5.0%"
"131","Velus Jones Jr. (CHI)","7","14","107","15.3","44","4","1","9","103","1","3","11","34.0","3.1","0.7%"
"132","Jalen Nailor (MIN)","9","13","179","19.9","47","6","1","0","0","0","0","8","32.9","4.1","0.1%"
"133","Dyami Brown (WAS)","5","14","143","28.6","75","6","2","1","15","0","0","9","32.8","3.6","0.2%"
"134","Steven Sims Jr. (HOU)","14","23","104","7.4","28","1","0","13","70","0","0","12","31.4","2.6","0.1%"
"135","River Cracraft (MIA)","9","14","102","11.3","22","1","2","0","0","0","0","8","31.2","3.9","0.1%"
"136","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","30.8","5.1","0.0%"
"137","Keelan Cole Sr. (LV)","10","21","141","14.1","30","4","1","0","0","0","0","12","30.1","2.5","0.0%"
"138","Denzel Mims (NYJ)","11","25","186","16.9","63","6","0","0","0","0","0","9","29.6","3.3","0.2%"
"139","Jalen Reagor (MIN)","8","13","104","13.0","38","3","1","4","25","0","0","17","26.9","1.6","0.2%"
"140","Cedrick Wilson Jr. (MIA)","12","18","136","11.3","21","2","0","1","8","0","0","13","26.4","2.0","0.2%"
"141","KJ Hamler (DEN)","7","14","165","23.6","55","10","0","2","23","0","0","7","25.8","3.7","0.7%"
"142","N'Keal Harry (FA)","7","9","116","16.6","49","3","1","0","0","0","0","6","24.6","4.1","0.0%"
"143","DeSean Jackson (FA)","9","17","153","17.0","62","5","0","0","0","0","0","7","24.3","3.5","1.0%"
"144","Breshad Perriman (IND)","9","19","110","12.2","28","2","1","2","-7","0","1","8","23.3","2.9","0.0%"
"145","Tom Kennedy (DET)","8","15","141","17.6","44","4","0","0","0","0","0","7","22.1","3.2","0.1%"
"146","David Sills V (NYG)","11","17","106","9.6","24","1","0","0","0","0","0","7","21.6","3.1","0.0%"
"147","Jeff Smith (NYG)","8","11","134","16.8","50","5","0","0","0","0","0","7","21.4","3.1","0.0%"
"148","Kenny Golladay (FA)","6","17","81","13.5","25","1","1","0","0","0","0","6","20.1","3.4","2.1%"
"149","Samori Toure (GB)","5","10","82","16.4","37","4","1","0","0","0","0","4","19.2","4.8","0.2%"
"150","T.Y. Hilton (FA)","7","10","121","17.3","52","5","0","0","0","0","0","3","19.1","6.4","1.6%"
"151","Marcus Johnson (FA)","9","22","99","11.0","18","0","0","0","0","0","0","8","18.9","2.4","0.0%"
"152","Michael Bandy (FA)","10","21","89","8.9","25","2","0","0","0","0","0","8","18.9","2.4","0.0%"
"153","Anthony Schwartz (CLE)","4","10","51","12.8","19","0","0","4","57","1","1","7","18.8","2.7","0.1%"
"154","Cam Sims (LV)","8","18","89","11.1","21","1","0","0","0","0","0","13","16.9","1.3","0.0%"
"155","Dax Milne (WAS)","6","7","37","6.2","12","0","1","0","0","0","0","15","15.7","1.0","0.0%"
"156","Jameson Williams (DET)","1","9","41","41.0","41","3","1","1","40","0","0","6","15.1","2.5","47.2%"
"157","Brandon Johnson (DEN)","6","14","42","7.0","12","0","1","0","0","0","1","5","14.2","2.8","0.0%"
"158","Dee Eskridge (SEA)","7","13","58","8.3","16","0","0","2","10","0","0","9","13.8","1.5","0.2%"
"159","Jalen Virgil (DEN)","2","5","75","37.5","66","4","1","0","0","0","1","7","13.5","1.9","0.0%"
"160","James Proche II (BAL)","8","17","62","7.8","12","0","0","0","0","0","0","12","13.2","1.1","0.1%"
"161","Gunner Olszewski (PIT)","5","7","53","10.6","31","2","0","8","39","0","1","15","12.2","0.8","0.1%"
"162","Jamison Crowder (NYG)","6","13","60","10.0","16","0","0","0","0","0","0","4","12.0","3.0","0.2%"
"163","Kyle Philips (TEN)","8","13","78","9.8","21","2","0","0","0","0","2","4","11.8","3.0","0.8%"
"164","Trent Taylor (CIN)","6","10","62","10.3","34","2","0","4","15","0","1","16","11.7","0.7","0.1%"
"165","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","11.5","2.3","0.0%"
"166","Freddie Swain (MIA)","4","6","74","18.5","52","4","0","0","0","0","0","3","11.4","3.8","0.0%"
"167","John Brown (FA)","1","2","42","42.0","42","3","1","0","0","0","0","2","11.2","5.6","0.0%"
"168","Deven Thompkins (TB)","5","10","32","6.4","13","0","0","2","26","0","0","5","10.8","2.2","0.1%"
"169","Jake Kumerow (FA)","4","7","64","16.0","39","2","0","0","0","0","0","5","10.4","2.1","0.0%"
"170","Laquon Treadwell (BAL)","6","10","42","7.0","17","0","0","0","0","0","0","3","10.2","3.4","0.1%"
"171","Cole Beasley (FA)","6","8","35","5.8","9","0","0","0","0","0","0","5","9.5","1.9","0.0%"
"172","Kevin White (FA)","2","5","74","37.0","64","4","0","0","0","0","0","6","9.4","1.6","0.0%"
"173","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","9.0","1.1","0.0%"
"174","Mike Strachan (IND)","3","9","59","19.7","23","2","0","0","0","0","0","6","8.9","1.5","0.0%"
"175","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","8.6","2.2","0.1%"
"176","Jalen Guyton (LAC)","2","4","64","32.0","54","4","0","0","0","0","0","2","8.4","4.2","0.1%"
"177","Cody Hollister (FA)","3","5","54","18.0","27","2","0","0","0","0","0","6","8.4","1.4","0.0%"
"178","Mike Thomas (BAL)","2","10","38","19.0","33","2","0","0","0","0","0","5","7.8","1.6","0.0%"
"179","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","7.3","1.2","0.1%"
"180","Racey McMath (TEN)","2","8","40","20.0","39","2","0","1","4","0","0","4","6.4","1.6","0.1%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","6.0","0.9","0.1%"
"182","Simi Fehoko (DAL)","3","4","24","8.0","12","0","0","0","0","0","0","3","5.4","1.8","0.1%"
"183","Montrell Washington (DEN)","4","9","2","0.5","4","0","0","5","30","0","1","15","5.2","0.3","0.1%"
