"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"184","Penny Hart (ATL)","3","4","20","6.7","15","0","0","0","0","0","0","3","5.0","1.7","0.0%"
"185","Tyrie Cleveland (PHI)","2","7","28","14.0","16","0","0","0","0","0","0","5","4.8","1.0","0.0%"
"186","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","4.8","0.3","0.0%"
"187","Bryan Edwards (NO)","3","5","15","5.0","10","0","0","0","0","0","0","4","4.5","1.1","0.1%"
"188","Daylen Baldwin (CLE)","2","2","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"189","Dezmon Patmon (BUF)","2","6","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"190","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","4.4","0.6","0.1%"
"191","Andy Isabella (BAL)","2","5","21","10.5","11","0","0","1","1","0","0","4","4.2","1.1","0.0%"
"192","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","4.1","0.8","0.0%"
"193","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.1%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","4.0","1.0","0.0%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","3.8","1.3","0.0%"
"196","Dennis Houston (DAL)","2","6","16","8.0","11","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"197","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","3.5","1.2","0.0%"
"198","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"199","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"200","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","3.2","1.1","0.7%"
"201","Miles Boykin (PIT)","2","3","11","5.5","11","0","0","0","0","0","0","10","3.1","0.3","0.1%"
"202","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.9","0.4","0.2%"
"203","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"204","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
